TimeStamp;FrequencyInvert1(Hz);VoltageInvert1(V);CurrentInvert1(A);ActivePowerInvert1(W);ReactivePowerInvert1(VAr);FrequencyInvert2(Hz);VoltageInvert2(V);CurrentInvert2(A);ActivePowerInvert2(W);ReactivePowerInvert2(VAr)
2021_05_08 03:41:39;50,09;223,62;0,13;-0,00;0,03;50,09;224,84;0,13;-0,00;0,03
2021_05_08 03:41:44;50,08;223,53;0,13;-0,00;0,03;50,08;224,74;0,13;-0,00;0,03
2021_05_08 03:41:49;50,09;223,49;0,13;-0,00;0,03;50,09;224,70;0,13;-0,00;0,03
2021_05_08 03:41:54;50,12;223,56;0,13;-0,00;0,03;50,12;224,79;0,13;-0,00;0,03
2021_05_08 03:41:59;50,12;223,48;0,13;-0,00;0,03;50,12;224,74;0,13;-0,00;0,03
2021_05_08 03:42:04;50,13;223,75;0,13;-0,00;0,03;50,13;224,94;0,13;-0,00;0,03
2021_05_08 03:42:09;50,13;223,66;0,13;-0,00;0,03;50,13;224,85;0,13;-0,00;0,03
2021_05_08 03:42:14;50,10;223,50;0,13;-0,00;0,03;50,10;224,76;0,13;-0,00;0,03
2021_05_08 03:42:19;50,09;223,58;0,13;-0,00;0,03;50,09;224,79;0,13;-0,00;0,03
2021_05_08 03:42:24;50,08;223,52;0,13;-0,00;0,03;50,08;224,74;0,13;-0,00;0,03
2021_05_08 03:42:29;50,10;223,65;0,13;-0,00;0,03;50,10;224,91;0,13;-0,00;0,03
2021_05_08 03:42:34;50,10;223,63;0,13;-0,00;0,03;50,10;224,82;0,13;-0,00;0,03
2021_05_08 03:42:39;50,09;223,58;0,13;-0,00;0,03;50,09;224,82;0,13;-0,00;0,03
2021_05_08 03:42:44;50,10;223,39;0,13;-0,00;0,03;50,10;224,65;0,13;-0,00;0,03
2021_05_08 03:42:49;50,10;223,52;0,13;-0,00;0,03;50,09;224,72;0,13;-0,00;0,03
2021_05_08 03:42:54;50,07;223,44;0,13;-0,00;0,03;50,07;224,68;0,13;-0,00;0,03
2021_05_08 03:42:59;50,06;223,51;0,13;-0,00;0,03;50,06;224,76;0,13;-0,00;0,03
2021_05_08 03:43:04;50,08;223,62;0,13;-0,00;0,03;50,08;224,85;0,13;-0,00;0,03
2021_05_08 03:43:09;50,08;223,49;0,13;-0,00;0,03;50,08;224,76;0,13;-0,00;0,03
2021_05_08 03:43:14;50,07;223,47;0,13;-0,00;0,03;50,07;224,72;0,13;-0,00;0,03
2021_05_08 03:43:19;50,08;223,55;0,13;-0,00;0,03;50,08;224,79;0,13;-0,00;0,03
2021_05_08 03:43:24;50,09;223,40;0,13;-0,00;0,03;50,09;224,66;0,13;-0,00;0,03
2021_05_08 03:43:29;50,09;223,43;0,13;-0,00;0,03;50,09;224,64;0,13;-0,00;0,03
2021_05_08 03:43:34;50,09;223,41;0,13;-0,00;0,03;50,09;224,64;0,13;-0,00;0,03
2021_05_08 03:43:39;50,08;223,57;0,13;-0,00;0,03;50,08;224,80;0,13;-0,00;0,03
2021_05_08 03:43:44;50,08;223,53;0,13;-0,00;0,03;50,08;224,77;0,13;-0,00;0,03
2021_05_08 03:43:49;50,08;223,65;0,13;-0,00;0,03;50,08;224,86;0,13;-0,00;0,03
2021_05_08 03:43:54;50,08;223,34;0,13;-0,00;0,03;50,08;224,59;0,13;-0,00;0,03
2021_05_08 03:43:59;50,06;223,40;0,13;-0,00;0,03;50,06;224,62;0,13;-0,00;0,03
2021_05_08 03:44:04;50,06;223,55;0,13;-0,00;0,03;50,06;224,78;0,13;-0,00;0,03
2021_05_08 03:44:09;50,09;223,55;0,13;-0,00;0,03;50,09;224,76;0,13;-0,00;0,03
2021_05_08 03:44:14;50,09;223,57;0,13;-0,00;0,03;50,09;224,77;0,13;-0,00;0,03
2021_05_08 03:44:19;50,10;223,69;0,13;-0,00;0,03;50,10;224,91;0,13;-0,00;0,03
2021_05_08 03:44:24;50,11;223,52;0,13;-0,00;0,03;50,11;224,78;0,13;-0,00;0,03
2021_05_08 03:44:29;50,09;223,45;0,13;-0,00;0,03;50,09;224,61;0,13;-0,00;0,03
2021_05_08 03:44:34;50,07;223,37;0,13;-0,00;0,03;50,07;224,58;0,13;-0,00;0,03
