TimeStamp;FrequencyInvert3(Hz);VoltageInvert3(V);CurrentInvert3(A);ActivePowerInvert3(W);ReactivePowerInvert3(VAr);FrequencyInvert4(Hz);VoltageInvert4(V);CurrentInvert4(A);ActivePowerInvert4(W);ReactivePowerInvert4(VAr);FrequencyInvert5(Hz);VoltageInvert5(V);CurrentInvert5(A);ActivePowerInvert5(W);ReactivePowerInvert5(VAr);FrequencyInvert6(Hz);VoltageInvert6(V);CurrentInvert6(A);ActivePowerInvert6(W);ReactivePowerInvert6(VAr)
2021_05_08 14:38:14;49,98;228,05;9,44;2,15;-0,01;49,98;227,10;9,09;2,06;-0,00;49,98;225,95;9,42;2,13;-0,01;49,98;228,05;8,98;2,05;-0,01
2021_05_08 14:38:19;50,01;228,04;9,46;2,15;0,00;50,01;227,06;9,09;2,06;0,01;50,01;225,96;9,43;2,13;0,00;50,01;228,04;8,97;2,04;-0,01
2021_05_08 14:38:24;50,02;227,88;9,46;2,15;0,00;50,02;226,93;9,11;2,07;0,00;50,02;225,79;9,44;2,13;0,00;50,02;227,88;8,98;2,04;-0,00
2021_05_08 14:38:29;50,03;227,97;9,45;2,15;-0,00;50,03;227,01;9,11;2,07;-0,01;50,03;225,84;9,44;2,13;0,00;50,03;227,97;8,96;2,04;-0,01
2021_05_08 14:38:34;50,01;227,94;9,46;2,16;0,00;50,01;226,95;9,10;2,06;-0,01;50,01;225,80;9,46;2,13;-0,00;50,01;227,94;8,97;2,04;0,00
2021_05_08 14:38:39;49,99;227,94;9,47;2,16;0,00;49,99;226,97;9,11;2,07;-0,00;49,99;225,78;9,43;2,13;0,00;49,99;227,94;8,97;2,04;0,00
2021_05_08 14:38:44;49,98;227,90;9,48;2,16;0,00;49,98;226,88;9,12;2,07;-0,01;49,98;225,73;9,44;2,13;-0,01;49,98;227,90;9,00;2,05;0,00
2021_05_08 14:38:49;49,98;227,96;9,46;2,15;-0,01;49,98;226,90;9,12;2,07;-0,01;49,98;225,81;9,43;2,13;0,00;49,98;227,96;8,99;2,05;-0,00
2021_05_08 14:38:54;50,00;228,06;9,46;2,15;-0,00;50,00;227,00;9,13;2,07;-0,01;50,00;225,90;9,43;2,13;-0,00;50,00;228,06;8,98;2,05;-0,01
2021_05_08 14:38:59;50,01;228,01;9,47;2,16;0,01;50,01;226,94;9,03;2,05;0,00;50,01;225,89;9,44;2,13;-0,00;50,01;228,01;8,98;2,04;0,01
2021_05_08 14:39:04;50,02;228,05;9,45;2,15;-0,00;50,02;227,05;9,11;2,07;-0,00;50,02;225,95;9,44;2,13;0,00;50,02;228,12;8,97;2,05;0,01
2021_05_08 14:39:09;50,03;228,27;9,46;2,16;0,00;50,03;227,02;9,13;2,07;0,00;50,03;226,08;9,43;2,13;0,01;50,03;228,27;8,97;2,05;-0,00
2021_05_08 14:39:14;50,03;228,10;9,47;2,16;-0,00;50,03;227,09;9,11;2,07;0,00;50,03;225,92;9,42;2,12;-0,01;50,03;228,10;8,98;2,05;0,00
2021_05_08 14:39:19;50,01;227,95;9,48;2,16;0,01;50,01;227,00;9,13;2,07;0,01;50,01;225,81;9,43;2,13;0,01;50,01;227,89;8,99;2,05;0,01
2021_05_08 14:39:24;50,00;228,09;9,49;2,16;0,01;50,00;227,09;9,13;2,07;0,00;50,00;225,94;9,43;2,13;0,01;50,00;228,09;8,98;2,05;0,01
2021_05_08 14:39:29;50,01;228,12;9,48;2,16;0,01;50,01;227,09;9,13;2,07;0,01;50,01;225,95;9,43;2,13;0,01;50,01;228,12;8,98;2,05;0,00
2021_05_08 14:39:34;50,02;228,02;9,48;2,16;0,01;50,02;227,02;9,13;2,07;0,00;50,02;225,88;9,44;2,13;0,00;50,02;228,02;8,99;2,05;0,01
2021_05_08 14:39:39;50,02;227,97;9,49;2,16;0,01;50,02;226,94;9,15;2,07;0,02;50,02;225,81;9,46;2,13;0,00;50,02;227,97;9,00;2,05;0,01
2021_05_08 14:39:44;50,02;228,03;9,47;2,16;-0,00;50,02;226,99;9,13;2,07;-0,01;50,02;225,88;9,44;2,13;0,00;50,02;228,03;8,97;2,04;0,00
2021_05_08 14:39:49;50,01;228,06;9,48;2,16;0,02;50,01;227,05;9,14;2,07;0,01;50,01;225,89;9,44;2,13;0,01;50,01;228,06;8,98;2,05;0,01
2021_05_08 14:39:54;50,01;228,13;9,49;2,16;0,00;50,01;226,99;9,14;2,07;-0,00;50,01;225,94;9,45;2,13;0,01;50,02;228,03;8,98;2,05;0,00
2021_05_08 14:39:59;50,02;228,10;9,48;2,16;0,01;50,02;227,00;9,13;2,07;-0,00;50,02;225,90;9,43;2,13;0,01;50,02;228,10;8,97;2,04;0,00
2021_05_08 14:40:04;50,03;228,05;9,48;2,16;0,00;50,03;227,04;9,11;2,07;-0,00;50,03;225,91;9,41;2,12;-0,01;50,03;228,05;8,98;2,05;0,01
2021_05_08 14:40:09;50,03;228,02;9,49;2,16;0,01;50,03;227,01;9,14;2,07;0,01;50,03;225,90;9,43;2,13;0,01;50,03;228,02;8,98;2,05;0,01
2021_05_08 14:40:14;50,04;228,04;9,49;2,16;0,00;50,04;227,04;9,14;2,07;-0,00;50,04;225,89;9,43;2,13;-0,01;50,04;228,04;8,96;2,04;-0,01
2021_05_08 14:40:19;50,05;227,95;9,50;2,16;-0,00;50,05;226,93;9,15;2,07;-0,00;50,05;225,79;9,43;2,13;0,00;50,05;227,95;8,98;2,05;0,00
2021_05_08 14:40:24;50,03;227,97;9,50;2,17;-0,01;50,03;226,89;9,16;2,08;-0,01;50,03;225,79;9,42;2,12;0,01;50,03;227,97;8,98;2,04;-0,00
2021_05_08 14:40:29;50,02;228,13;9,48;2,16;0,00;50,02;227,10;9,13;2,07;0,00;50,02;225,93;9,40;2,12;-0,00;50,02;228,11;8,98;2,05;0,00
2021_05_08 14:40:34;50,02;227,92;9,51;2,17;0,00;50,02;226,93;9,14;2,07;-0,01;50,02;225,79;9,41;2,12;0,00;50,02;227,96;8,96;2,04;0,01
2021_05_08 14:40:39;50,00;227,95;9,49;2,16;0,00;50,00;226,91;9,15;2,08;-0,00;50,00;225,80;9,42;2,13;-0,00;50,00;227,94;8,98;2,05;0,01
2021_05_08 14:40:44;49,98;227,95;9,51;2,17;0,00;49,98;226,89;9,14;2,07;-0,01;49,98;225,74;9,42;2,12;-0,00;49,98;227,89;8,96;2,04;0,01
2021_05_08 14:40:49;49,98;227,96;9,49;2,16;0,00;49,98;226,93;9,14;2,07;-0,00;49,98;225,74;9,43;2,13;0,00;49,98;228,03;8,97;2,04;-0,00
2021_05_08 14:40:54;50,02;228,05;9,51;2,17;-0,00;50,02;227,00;9,15;2,08;-0,01;50,02;225,88;9,42;2,12;-0,01;50,02;228,05;8,98;2,05;0,01
2021_05_08 14:40:59;50,04;227,94;9,50;2,16;0,01;50,04;226,89;9,15;2,07;0,01;50,04;225,73;9,41;2,12;0,00;50,04;227,92;8,97;2,04;0,01
2021_05_08 14:41:04;50,02;227,97;9,50;2,16;0,00;50,02;226,98;9,14;2,07;-0,00;50,02;225,76;9,40;2,12;-0,01;50,01;227,90;8,98;2,04;0,01
2021_05_08 14:41:09;50,01;227,91;9,51;2,17;-0,00;50,01;226,93;9,14;2,07;-0,01;50,01;225,80;9,42;2,12;-0,01;50,01;227,97;8,95;2,04;0,01
2021_05_08 14:41:14;50,02;227,91;9,51;2,17;0,01;50,02;226,88;9,16;2,08;-0,01;50,02;225,77;9,41;2,12;0,00;50,03;227,85;8,96;2,04;0,00
2021_05_08 14:41:19;50,02;227,97;9,51;2,17;-0,01;50,02;226,91;9,15;2,08;-0,00;50,02;225,81;9,41;2,12;-0,01;50,02;228,00;8,96;2,04;0,01
2021_05_08 14:41:24;50,02;227,93;9,51;2,17;0,00;50,02;226,88;9,16;2,08;0,00;50,02;225,74;9,42;2,12;0,01;50,02;227,93;8,96;2,04;0,00
2021_05_08 14:41:29;50,00;227,89;9,51;2,17;-0,00;50,00;226,82;9,17;2,08;-0,00;50,00;225,68;9,42;2,12;0,00;50,00;227,96;8,96;2,04;0,00
2021_05_08 14:41:34;50,01;228,09;9,51;2,17;0,01;50,01;227,01;9,17;2,08;0,00;50,01;225,86;9,41;2,12;0,01;50,01;228,05;8,95;2,04;0,00
